Team,S%,SV%,PDO,CF,CA,CF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
San Jose Sharks,11.3,.908,102.1,522,676,43.6,26.5,28.8,32,33,1,232,293,44.2,78,95,45.1,13,14.3,7,6.9
League Average,8.5,.915,,621,604,,28.1,28.1,27,27,,285,285,,103,103,,9,8.1,9,8.0
