Rk,Player,Age,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,-9999
1,Alex Nedeljkovic,30,6,6,2,2,2,20,190,170,.895,3.29,0,365:10,3,.500,1,103,-0.5,3.45,1.2,0,1,1,0,,nedelal01
2,Yaroslav Askarov,23,8,8,3,4,1,31,247,216,.874,3.88,0,479:44,3,.375,4,122,-5.7,4.13,1.0,0,0,0,0,,askarya01
,Team Totals,,14,14,5,6,3,51,437,386,.883,3.62,0,844:54,6,.429,5,114,-6.2,3.83,2.1,0,1,1,0,,-9999
