Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
San Jose Sharks,27.2,14,5,6,3,13,.464,48,53,-0.04,0.39,3.43,3.79,10,47,21.28,13,46,71.74,2,1,349,13.8,439,.879,102.1,0
League Average,28.7,14,7,5,2,15,.569,42,42,,,,,9,43,20.90,9,43,79.10,1,1,383,10.9,383,.891,,0
